DESCRIPTION,CHALLENGE,TRIGGERED,PREDICTION,OTHERBayes,OTHERS,STATUS
"On traditional roller coasters, your weight is centered over the wheels, but two new coasters — the X Flight at Six Flags Great America and Dollywood’s Wild Eagle — have you hanging off the side of the track, dangling in midair. It’s kind of like you’re sitting on the wings of a plane. The Swiss company Bolliger & Mabillard had to completely reimagine the seat design to handle the stress caused by the differently distributed weight. Cora Currier",TCO,"['', 'containsName']","Bayes: 0.9999999940803644, complexBayes 1.0, linClass: 0 0, USE: 1 0.90700203","BayesTCO: 1.0, BayesMixed 3.763569516683905e-07, BayesMixed w/o dups 8.944838373718124e-07, compl BayesTCO: 1.0, compl BayesMixed: 0.002400794906713885, compl BayesMixed w/o dups: 4.056899507148077e-16","Lin Class: 0 0, USE mixed: 0 0.6126916",unusable
On tables at restaurants so the menu is always availalbe to view.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0011384416871524806, complexBayes 0.9999999999911503, linClass: 0 0, USE: 0 0.70499706","BayesTCO: 0.001403998865324661, BayesMixed 0.00045417319954091313, BayesMixed w/o dups 0.0006949007885678263, compl BayesTCO: 0.9999999999912348, compl BayesMixed: 0.02063209643515321, compl BayesMixed w/o dups: 0.0385782821805928","Lin Class: 0 0, USE mixed: 0 0.80410206",usable
"you can leave a note on some money that you are paying someone with about what you would like to tip them like if you are in a restaruant
",TCO,[''],"Bayes: 0.9999986200184502, complexBayes 0.9999834792696811, linClass: 0 0, USE: 0 0.68089575","BayesTCO: 0.999999397224274, BayesMixed 3.9274134482624386e-08, BayesMixed w/o dups 8.256088977182852e-08, compl BayesTCO: 1.0, compl BayesMixed: 2.409351856357421e-16, compl BayesMixed w/o dups: 4.128030090912778e-15","Lin Class: 0 0, USE mixed: 0 0.9215776",usable
Use it on a car to make an easily changeable paint job,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 2.1450678149071247e-05, complexBayes 3.6473499089681507e-13, linClass: 0 0, USE: 0 0.5816176","BayesTCO: 0.00012187131269258515, BayesMixed 4.215591991428195e-05, BayesMixed w/o dups 2.1518281853072558e-05, compl BayesTCO: 8.008152991306788e-13, compl BayesMixed: 2.469914735432883e-12, compl BayesMixed w/o dups: 1.4160527611684608e-13","Lin Class: 0 0, USE mixed: 0 0.88286465",usable
two sided smart phone,TCO,"['', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.014041032305978465, complexBayes 0.0022784550478299674, linClass: 0 0, USE: 1 0.9311832","BayesTCO: 0.9999999999314527, BayesMixed 0.4506698906109861, BayesMixed w/o dups 0.5262214424906614, compl BayesTCO: 0.0022784550478299674, compl BayesMixed: 0.0029757268296005997, compl BayesMixed w/o dups: 0.0033955536892302115","Lin Class: 0 0, USE mixed: 1 0.5063706",usable
Some of the systems can turn the displays from that into touch display.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 1.0, complexBayes 0.9999999999605128, linClass: 0 0, USE: 1 0.9071072","BayesTCO: 1.0, BayesMixed 0.010501273563706441, BayesMixed w/o dups 0.003600519004709778, compl BayesTCO: 1.0, compl BayesMixed: 0.5359615973796524, compl BayesMixed w/o dups: 0.030848467159689138","Lin Class: 0 0, USE mixed: 0 0.688627",unusable
"This could be applied to kitchen countertops. Then, a cook could use the internet to look up recipes and access tutorials on how to cook things hands free without leaving the kitchen. ",TCO,[''],"Bayes: 0.9996221445015353, complexBayes 0.9994525762121161, linClass: 0 0, USE: 0 0.89411956","BayesTCO: 0.9997050540945925, BayesMixed 1.4716369483032098e-08, BayesMixed w/o dups 3.125734207058791e-08, compl BayesTCO: 0.999695108837228, compl BayesMixed: 6.663172668609452e-33, compl BayesMixed w/o dups: 4.2952533430212034e-32","Lin Class: 0 0, USE mixed: 0 0.9343431",usable
Apply it on patio tables for browsing outdoors. ,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.001372610897740101, complexBayes 4.6650778641287415e-05, linClass: 0 0, USE: 0 0.87397575","BayesTCO: 0.001973340018515663, BayesMixed 0.02524861661783129, BayesMixed w/o dups 0.027393480387036415, compl BayesTCO: 3.423298881137751e-05, compl BayesMixed: 8.709568604120627e-05, compl BayesMixed w/o dups: 0.0001435701915728676","Lin Class: 0 0, USE mixed: 0 0.8481375",usable
"Put on a shirt so you can change the graphic on it, or even have moving pictures playing",TCO,"['', 'Wordcount']","Bayes: 2.4301757212853305e-08, complexBayes 9.362515228362454e-16, linClass: 0 0, USE: 0 0.90926707","BayesTCO: 1.9339109842474964e-08, BayesMixed 1.6354374273551293e-09, BayesMixed w/o dups 4.434678960528997e-09, compl BayesTCO: 1.7136269715085807e-16, compl BayesMixed: 3.049076682002693e-14, compl BayesMixed w/o dups: 3.197557165180752e-13","Lin Class: 0 0, USE mixed: 0 0.9386757",usable
"you could make board games interactive like monopoly instead of using the typical hard board and paper money you could make the whole thing digital and use your kitchen table or coffee table
",TCO,[''],"Bayes: 4.397344786690658e-10, complexBayes 2.1659663308571292e-08, linClass: 0 0, USE: 0 0.7490322","BayesTCO: 3.754938447271197e-10, BayesMixed 1.7989189295930704e-08, BayesMixed w/o dups 1.6599538972286056e-08, compl BayesTCO: 9.081744674048769e-08, compl BayesMixed: 1.1228977858534932e-13, compl BayesMixed w/o dups: 3.01978811521659e-13","Lin Class: 0 0, USE mixed: 0 0.82191354",usable
you can put on the backside of your phone to make a double screen phone and very unwieldy to hold. ,TCO,[''],"Bayes: 6.181054735275897e-07, complexBayes 0.9594867146163808, linClass: 0 0, USE: 0 0.7891726","BayesTCO: 4.901479450559028e-07, BayesMixed 1.9595374436266367e-05, BayesMixed w/o dups 3.3217699410414686e-05, compl BayesTCO: 0.949804149784098, compl BayesMixed: 3.072996143810536e-15, compl BayesMixed w/o dups: 1.6773785414135606e-14","Lin Class: 0 0, USE mixed: 0 0.8478018",usable
Gadgets gave something about the display so we can access the display  that one can make touch display.,TCO,"['', 'Wordcount']","Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.5563025","BayesTCO: 1.0, BayesMixed 0.006704357826552194, BayesMixed w/o dups 0.009451570070179787, compl BayesTCO: 1.0, compl BayesMixed: 1.4484219815976031e-06, compl BayesMixed w/o dups: 3.8652032749768345e-06","Lin Class: 0 0, USE mixed: 0 0.8222662",unusable
"On the steering wheel face, for things like song changing, gps",TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999999992358709, complexBayes 0.05611682210797118, linClass: 0 0, USE: 1 0.86392194","BayesTCO: 0.9999999995002219, BayesMixed 0.04615815931146468, BayesMixed w/o dups 0.04065878995181021, compl BayesTCO: 0.0769021638682767, compl BayesMixed: 0.00405901669941992, compl BayesMixed w/o dups: 0.00327265606091728","Lin Class: 0 0, USE mixed: 0 0.6870054",usable
Apply to swing sets or play yard equipment for browsing out of doors. ,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0010952248008559572, complexBayes 0.4373075318379593, linClass: 0 0, USE: 1 0.58542705","BayesTCO: 0.0022076145388742214, BayesMixed 6.483188911680811e-05, BayesMixed w/o dups 7.681400478896397e-05, compl BayesTCO: 0.5630639884950298, compl BayesMixed: 0.0006677772465390041, compl BayesMixed w/o dups: 0.00043683654810093185","Lin Class: 0 0, USE mixed: 0 0.8704454",usable
You can turn your bedroom wall into a touchscreen TV,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0003343948129414958, complexBayes 0.0016934442117937252, linClass: 0 0, USE: 0 0.73282206","BayesTCO: 0.0008715451806787245, BayesMixed 0.002710092876292102, BayesMixed w/o dups 0.002950025174783206, compl BayesTCO: 0.0018423706965050896, compl BayesMixed: 0.026753988255619796, compl BayesMixed w/o dups: 0.010690795265607934","Lin Class: 0 0, USE mixed: 0 0.7662239",usable
"you could make board games interactive like monopoly instead of using the typical hard board and paper money you could make the whole thing digital and use your kitchen table or coffee table
",TCO,['duplicate'],,,,usable
Bathroom doors that can tell you if they're occupied,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.0012549468969486727, complexBayes 0.0015682850240651385, linClass: 0 0, USE: 0 0.8942506","BayesTCO: 0.0012760953569630723, BayesMixed 2.7193515196681085e-05, BayesMixed w/o dups 3.604926364181489e-05, compl BayesTCO: 0.001293898970697807, compl BayesMixed: 7.349747436009251e-05, compl BayesMixed w/o dups: 0.00014718055965173978","Lin Class: 0 0, USE mixed: 0 0.83493686",usable
A touch screen restaurant where you can order without having to interact with workers.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 5.646001834281981e-05, complexBayes 1.082266848255109e-07, linClass: 0 0, USE: 0 0.60132813","BayesTCO: 6.683250034311171e-05, BayesMixed 1.813215181142053e-06, BayesMixed w/o dups 3.2557692150163914e-06, compl BayesTCO: 1.7698286968448634e-07, compl BayesMixed: 1.696126191943621e-06, compl BayesMixed w/o dups: 4.245338387104614e-06","Lin Class: 0 0, USE mixed: 0 0.90628546",usable
I have a new idea to develop a bluetooth pendrive so that we can transfer files between pendrives through bluetooth,TCO,[''],"Bayes: 0.9999999960286189, complexBayes 0.9999999999999969, linClass: 0 0, USE: 1 0.66250604","BayesTCO: 0.9999999976739407, BayesMixed 0.0002250533106991164, BayesMixed w/o dups 0.00021221136861716649, compl BayesTCO: 1.0, compl BayesMixed: 5.4125713158702736e-08, compl BayesMixed w/o dups: 2.3065772840771573e-07","Lin Class: 0 0, USE mixed: 0 0.82314587",unusable
"you could have a section of the countertop in the kitchen where you could just use your finger to write a grocery list
",TCO,[''],"Bayes: 1.1785661927054403e-07, complexBayes 1.0, linClass: 0 0, USE: 0 0.8406905","BayesTCO: 1.7358093716401457e-07, BayesMixed 7.076106313810163e-07, BayesMixed w/o dups 3.4069175523558583e-07, compl BayesTCO: 1.0, compl BayesMixed: 2.0575678304275863e-15, compl BayesMixed w/o dups: 7.098408184600451e-15","Lin Class: 0 0, USE mixed: 0 0.68677616",usable
Thermostat that can be changed without the use of a dial or buttons. ,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 5.717690520931396e-06, complexBayes 3.278786424660656e-06, linClass: 0 0, USE: 0 0.6451496","BayesTCO: 1.6347039828289397e-05, BayesMixed 4.563705723375734e-05, BayesMixed w/o dups 2.8259362532525818e-05, compl BayesTCO: 0.9999999319275253, compl BayesMixed: 9.89198114598074e-12, compl BayesMixed w/o dups: 3.69519514002733e-12","Lin Class: 0 0, USE mixed: 0 0.6966027",usable
"Monitors could become touch screens, improving the desktop computing experience. ",TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.0010573965849407093, complexBayes 0.008143488990014503, linClass: 0 0, USE: 1 0.9228281","BayesTCO: 0.0009175256174590095, BayesMixed 0.12442438260845011, BayesMixed w/o dups 0.10167005925910885, compl BayesTCO: 0.006902370655559873, compl BayesMixed: 0.020092424632154528, compl BayesMixed w/o dups: 0.0296168042699405","Lin Class: 0 0, USE mixed: 0 0.65474415",usable
Tables can have smart home functionality for taking actions from a couch or other sitting position. ,TCO,"['', 'Wordcount']","Bayes: 2.8752860165840805e-05, complexBayes 0.007195591611479749, linClass: 0 0, USE: 0 0.5651308","BayesTCO: 3.4112460369117476e-05, BayesMixed 7.134438060013736e-05, BayesMixed w/o dups 9.30650452243722e-05, compl BayesTCO: 0.01209555247919209, compl BayesMixed: 0.00017964579991630318, compl BayesMixed w/o dups: 0.00016339899444913804","Lin Class: 0 0, USE mixed: 0 0.8325181",usable
"You could coat a small ball of some kind to turn it into a touch display where you double tap to activate it. Once activated
",TCO,[''],"Bayes: 0.9999998134370267, complexBayes 1.0, linClass: 0 0, USE: 0 0.56581134","BayesTCO: 0.9999998033517035, BayesMixed 6.749582105242359e-06, BayesMixed w/o dups 1.1535367560355384e-05, compl BayesTCO: 1.0, compl BayesMixed: 5.463013091182001e-07, compl BayesMixed w/o dups: 4.5467193210544115e-07","Lin Class: 0 0, USE mixed: 0 0.8339709",unusable
"you could have a section of the countertop in the kitchen where you could just use your finger to write a grocery list
",TCO,['duplicate'],,,,usable
Use it on magazines to make article information clickable.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 1.3046839429314069e-05, complexBayes 2.741113366215772e-11, linClass: 0 0, USE: 0 0.55771685","BayesTCO: 1.999152985508495e-05, BayesMixed 0.00031043131972077076, BayesMixed w/o dups 0.00031281735652633375, compl BayesTCO: 2.457203677871326e-11, compl BayesMixed: 1.2856463177782778e-09, compl BayesMixed w/o dups: 3.00177646452602e-09","Lin Class: 0 0, USE mixed: 0 0.8369295",usable
A painting that can change and has a lot of samples on it and you can hang it on your wall.,TCO,[''],"Bayes: 1.3873374067882003e-08, complexBayes 0.9999999999999908, linClass: 0 0, USE: 0 0.9375598","BayesTCO: 2.501492883490128e-08, BayesMixed 6.218984963080592e-07, BayesMixed w/o dups 7.929363355833648e-07, compl BayesTCO: 0.9999999999999807, compl BayesMixed: 4.097058169228458e-15, compl BayesMixed w/o dups: 2.1432890842944386e-13","Lin Class: 0 0, USE mixed: 0 0.87881196",usable
can make floors and walls touch with options.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.0017183699019439889, complexBayes 0.9999999999730421, linClass: 0 0, USE: 0 0.8112358","BayesTCO: 0.001789441553712098, BayesMixed 0.002854083689255875, BayesMixed w/o dups 0.003636596817623, compl BayesTCO: 0.9999999999728386, compl BayesMixed: 0.999999999946961, compl BayesMixed w/o dups: 0.999999999950207","Lin Class: 0 0, USE mixed: 0 0.8453879",usable
can make toilets touch capable.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.03804769463238668, complexBayes 0.28840846366145356, linClass: 0 0, USE: 1 0.6080242","BayesTCO: 0.036355040203186244, BayesMixed 0.07964371780263166, BayesMixed w/o dups 0.08325895595511817, compl BayesTCO: 0.2929178470254958, compl BayesMixed: 0.10546455639066782, compl BayesMixed w/o dups: 0.15157834712638252","Lin Class: 0 0, USE mixed: 0 0.7896897",usable
Hamish and Andy’s outrageous new revelation about ‘appendicitis faker’ ,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'containsName']","Bayes: 0.09964102822592288, complexBayes 0.9999999999981095, linClass: 0 0, USE: 1 0.94853914","BayesTCO: 0.10229788269117569, BayesMixed 0.013686317470117434, BayesMixed w/o dups 0.013522719372842645, compl BayesTCO: 0.999999999998375, compl BayesMixed: 0.3529411764705882, compl BayesMixed w/o dups: 0.3427299703264095","Lin Class: 0 0, USE mixed: 0 0.5431352",unusable
"my idea is for a truly indestructible dog toy that has a squeaker inside.  the toy needs to be flexible enough to make the squeaker work, but not so pliable that it can be easily chewed",TCO,[''],"Bayes: 1.0, complexBayes 0.9999244196507387, linClass: 0 0, USE: 1 0.9293523","BayesTCO: 1.0, BayesMixed 8.639459236462692e-07, BayesMixed w/o dups 2.523874905812992e-06, compl BayesTCO: 0.9999576967369044, compl BayesMixed: 1.2211951483125226e-12, compl BayesMixed w/o dups: 3.231310265095057e-11","Lin Class: 0 0, USE mixed: 0 0.78093684",unusable
Captured on film: the moment Prince Charles turned on Diana forever,TCO,"['', 'Wordcount', 'Wordcount', 'containsName']","Bayes: 0.0023217442306482433, complexBayes 0.10526315789473684, linClass: 0 0, USE: 1 0.74178284","BayesTCO: 0.002881530854657734, BayesMixed 0.22532695647782716, BayesMixed w/o dups 0.26817385894643636, compl BayesTCO: 0.11926605504587154, compl BayesMixed: 0.03593595788236797, compl BayesMixed w/o dups: 0.045912631762692106","Lin Class: 0 0, USE mixed: 0 0.7180103",unusable
I would choose products and assemble or make to all the surface into a touch display type. Because that have some of features in the products.,TCO,[''],"Bayes: 1.0, complexBayes 1.0, linClass: 0 0, USE: 1 0.90345514","BayesTCO: 1.0, BayesMixed 0.00013172631858699463, BayesMixed w/o dups 9.083248481245192e-05, compl BayesTCO: 1.0, compl BayesMixed: 1.0, compl BayesMixed w/o dups: 1.0","Lin Class: 0 0, USE mixed: 0 0.7662495",unusable
"you could turn a blank wall into a pc gamers dream monitor and make it so that if you held a special game weapon you could play CoD or that sort of game interactively and make it feel as if you were actually there
",TCO,[''],"Bayes: 1.3895101343162936e-07, complexBayes 0.9950294727613599, linClass: 0 0, USE: 0 0.932034","BayesTCO: 1.2052007134843255e-07, BayesMixed 2.1177136181338085e-10, BayesMixed w/o dups 3.447527034603434e-10, compl BayesTCO: 0.9878858171572512, compl BayesMixed: 1.4145577643280303e-18, compl BayesMixed w/o dups: 3.803854368483262e-18","Lin Class: 0 0, USE mixed: 0 0.9581884",usable
Touch displays can be added to the side of headphones in order to get more fine tuned selection of options as opposed to either physical buttons or being forced to use the host device. ,TCO,[''],"Bayes: 1.113023698308733e-05, complexBayes 0.9999999633935551, linClass: 0 0, USE: 1 0.60605156","BayesTCO: 2.2699398186178763e-05, BayesMixed 4.984235997894723e-07, BayesMixed w/o dups 5.4861608828822195e-08, compl BayesTCO: 1.0, compl BayesMixed: 4.88644784785467e-23, compl BayesMixed w/o dups: 1.3531925308212305e-23","Lin Class: 0 0, USE mixed: 0 0.9646876",usable
A window where you can control how much light gets in by swiping,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999999990160174, complexBayes 1.0, linClass: 0 0, USE: 1 0.6750773","BayesTCO: 0.9999999992356147, BayesMixed 1.2037221983418536e-05, BayesMixed w/o dups 1.991486116723596e-05, compl BayesTCO: 1.0, compl BayesMixed: 2.3930844242616425e-07, compl BayesMixed w/o dups: 5.773766105924939e-07","Lin Class: 0 0, USE mixed: 0 0.7496884",usable
Glasses you could touch to adjust light blocking abilities.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.000765165405272359, complexBayes 0.0014344410618755876, linClass: 0 0, USE: 0 0.7687538","BayesTCO: 0.0005673649006028499, BayesMixed 0.0020288198530287868, BayesMixed w/o dups 0.003286733001299309, compl BayesTCO: 0.001496898383133146, compl BayesMixed: 4.1835572923781586e-05, compl BayesMixed w/o dups: 8.928593298654727e-05","Lin Class: 0 0, USE mixed: 0 0.88128656",usable
A panel that controls all of the house's lights and temperature by swiping,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 0.9999998666229728, complexBayes 1.0, linClass: 0 0, USE: 1 0.57116205","BayesTCO: 0.9999999209002807, BayesMixed 4.467342956533372e-05, BayesMixed w/o dups 4.5442575125520135e-05, compl BayesTCO: 1.0, compl BayesMixed: 5.554248274889507e-05, compl BayesMixed w/o dups: 3.7029332788572436e-05","Lin Class: 0 0, USE mixed: 0 0.5585049",usable
"a floor touch screen where you spray on the floor and it tells you how many foot steps there has been in that room on that day along with the weather and the amount of cleaning needed for the day on that floor.
",TCO,[''],"Bayes: 1.0, complexBayes 0.9999999999662744, linClass: 0 0, USE: 0 0.8885067","BayesTCO: 1.0, BayesMixed 1.8440146318802236e-09, BayesMixed w/o dups 2.319540731998322e-09, compl BayesTCO: 0.9999999999625097, compl BayesMixed: 2.744065719615605e-20, compl BayesMixed w/o dups: 3.8018348025822446e-19","Lin Class: 0 0, USE mixed: 0 0.87606865",usable
I would most definitely make a special coating with different color background to use in kids rooms with a frame. The frames can come in different sizes,TCO,[''],"Bayes: 1.0607214640287905e-08, complexBayes 0.9999722571266366, linClass: 0 0, USE: 1 0.81077653","BayesTCO: 7.256815225259093e-08, BayesMixed 1.5588691519992581e-06, BayesMixed w/o dups 1.4486888366004068e-06, compl BayesTCO: 1.0, compl BayesMixed: 1.1067690763028684e-12, compl BayesMixed w/o dups: 1.5359632907914865e-12","Lin Class: 0 0, USE mixed: 0 0.8933135",usable
Can turn an ordinary television into a touch television.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.0440087933390169, complexBayes 0.25242312939867, linClass: 0 0, USE: 1 0.8752062","BayesTCO: 0.0936286035228185, BayesMixed 0.17001677500579054, BayesMixed w/o dups 0.10596963629067652, compl BayesTCO: 0.3161527145065796, compl BayesMixed: 0.9222563277397888, compl BayesMixed w/o dups: 0.8547696766330044","Lin Class: 0 0, USE mixed: 0 0.6627932",usable
Make a spot near your desk that has your phone be a touch display right next to you.,TCO,"['', 'Wordcount']","Bayes: 5.582531495097851e-06, complexBayes 0.9999813541015494, linClass: 0 0, USE: 1 0.7346563","BayesTCO: 3.393469266402845e-06, BayesMixed 0.00010651981557207778, BayesMixed w/o dups 0.0002554407608828603, compl BayesTCO: 0.9999713940701523, compl BayesMixed: 3.311833172368852e-07, compl BayesMixed w/o dups: 6.965083464412226e-06","Lin Class: 0 0, USE mixed: 0 0.70404536",usable
You could apply it on a table and write on it like if it was a notebook,TCO,"['', 'Wordcount']","Bayes: 2.1795447440325052e-07, complexBayes 0.8087440071292403, linClass: 0 0, USE: 0 0.92681795","BayesTCO: 2.000073467260864e-07, BayesMixed 5.728415786970256e-06, BayesMixed w/o dups 1.0186623709045266e-05, compl BayesTCO: 0.5756797375136875, compl BayesMixed: 5.2265219553346924e-18, compl BayesMixed w/o dups: 1.9276199752179116e-16","Lin Class: 0 0, USE mixed: 0 0.87449163",usable
A touch display mattress that could control firmness.,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.0002815190491507127, complexBayes 5.419000808342919e-06, linClass: 0 0, USE: 0 0.62084013","BayesTCO: 0.00021572423698113216, BayesMixed 0.002927829435334695, BayesMixed w/o dups 0.004290816467506904, compl BayesTCO: 4.183814827564206e-06, compl BayesMixed: 0.23192318629824624, compl BayesMixed w/o dups: 0.3329191960879534","Lin Class: 0 0, USE mixed: 0 0.74034125",usable
You can apply it on your car windscreen and make it like a jet fighter HUD!,TCO,"['', 'Wordcount']","Bayes: 3.753647120708089e-06, complexBayes 2.0893007558629884e-09, linClass: 0 0, USE: 0 0.7009161","BayesTCO: 9.267211647385249e-06, BayesMixed 4.333063650234172e-06, BayesMixed w/o dups 2.5405965878864605e-06, compl BayesTCO: 7.226000531690749e-09, compl BayesMixed: 1.7319602729848266e-10, compl BayesMixed w/o dups: 1.1125081961683486e-11","Lin Class: 0 0, USE mixed: 0 0.86414766",usable
It could be placed on a closet so that you can put items together to make and outfit without having to try everything on. It would show you pictures of the different pieces.,TCO,[''],"Bayes: 2.6142004149409734e-12, complexBayes 3.670509831464412e-20, linClass: 0 0, USE: 0 0.90760726","BayesTCO: 2.7822317849305684e-12, BayesMixed 3.2380362870128905e-12, BayesMixed w/o dups 6.209921874330127e-12, compl BayesTCO: 5.198077386865051e-20, compl BayesMixed: 7.072967576335615e-34, compl BayesMixed w/o dups: 5.827913941041185e-32","Lin Class: 0 0, USE mixed: 0 0.9790683",usable
Put the coating on car tires to display air pressure,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 1.1944065924505453e-05, complexBayes 6.968659479307976e-05, linClass: 0 0, USE: 1 0.75087076","BayesTCO: 0.9999999654342338, BayesMixed 0.0795042530226065, BayesMixed w/o dups 0.0033967668663874104, compl BayesTCO: 0.999999995582298, compl BayesMixed: 0.038767031369961964, compl BayesMixed w/o dups: 0.0007235317140108929","Lin Class: 0 0, USE mixed: 0 0.8325523",usable
You could make wallpaper in the whole house be a touch screen.,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 4.6578593786922775e-05, complexBayes 1.0, linClass: 0 0, USE: 1 0.7867541","BayesTCO: 3.193612324848296e-05, BayesMixed 7.01453773796087e-05, BayesMixed w/o dups 9.561163041753492e-05, compl BayesTCO: 1.0, compl BayesMixed: 2.9608581642430378e-08, compl BayesMixed w/o dups: 6.816256280678995e-08","Lin Class: 0 0, USE mixed: 0 0.61160165",usable
Apply to walls of home for anywhere access,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj unigram']","Bayes: 0.005629222664939234, complexBayes 0.002337108233176221, linClass: 0 0, USE: 1 0.69204646","BayesTCO: 0.00754558202084329, BayesMixed 0.00017238335243385553, BayesMixed w/o dups 0.00021346262666376223, compl BayesTCO: 0.0017974887057573606, compl BayesMixed: 0.00046252635749167265, compl BayesMixed w/o dups: 0.0006587150431970115","Lin Class: 0 0, USE mixed: 0 0.87121594",usable
clothes can interact with your phone and computer,TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.013380510281562005, complexBayes 0.08564063466204422, linClass: 0 0, USE: 0 0.72158843","BayesTCO: 0.017963741877766688, BayesMixed 0.0012126190973233823, BayesMixed w/o dups 0.0005459146413809667, compl BayesTCO: 0.13661018414870263, compl BayesMixed: 0.0011459200583900271, compl BayesMixed w/o dups: 0.0022894784562937213","Lin Class: 0 0, USE mixed: 0 0.85501146",usable
It can be applied to a yoga mat to show the exact positions your body should be in for certain poses.,TCO,[''],"Bayes: 0.9999999823517128, complexBayes 4.150668725435724e-09, linClass: 0 0, USE: 1 0.8878223","BayesTCO: 0.9999999877715412, BayesMixed 1.8301197924991063e-08, BayesMixed w/o dups 2.7493179534388515e-08, compl BayesTCO: 0.9994028800503303, compl BayesMixed: 1.8424028599241704e-18, compl BayesMixed w/o dups: 1.2002476375389555e-17","Lin Class: 0 0, USE mixed: 0 0.8603513",usable
"digital medical personal medical history
",TCO,"['', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount']","Bayes: 0.9999999999966251, complexBayes 3.4767179462880143e-06, linClass: 0 0, USE: 1 0.98695964","BayesTCO: 0.9999999999966251, BayesMixed 0.2265309998307654, BayesMixed w/o dups 0.17871414881332995, compl BayesTCO: 3.4767179462880143e-06, compl BayesMixed: 0.777043401630315, compl BayesMixed w/o dups: 0.799138517343006","Lin Class: 0 0, USE mixed: 0 0.55009973",unusable
TV screen,TCO,"['', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Charcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'Wordcount', 'without verb or adj', 'without verb or adj unigram']","Bayes: 0.25485284909204764, complexBayes 0.2355460385438973, linClass: 0 0, USE: 1 0.93481123","BayesTCO: 0.24290220820189276, BayesMixed 0.3141162967887925, BayesMixed w/o dups 0.3466203053270574, compl BayesTCO: 0.3642384105960265, compl BayesMixed: 0.34050975091716557, compl BayesMixed w/o dups: 0.37083793593182895","Lin Class: 0 0, USE mixed: 0 0.7075476",usable
Having it over a window in order to change the scenery when you look out the window.,TCO,"['', 'Wordcount']","Bayes: 8.775761065674375e-07, complexBayes 5.583714895101248e-06, linClass: 0 0, USE: 0 0.6049121","BayesTCO: 9.001514796060596e-07, BayesMixed 6.512691585725379e-09, BayesMixed w/o dups 1.2253025765608276e-08, compl BayesTCO: 4.3223136006350604e-07, compl BayesMixed: 1.6126525421901688e-18, compl BayesMixed w/o dups: 6.669902873091157e-18","Lin Class: 0 0, USE mixed: 0 0.8943917",usable
Adding a touch display to your television. Able to swipe channels and zoom in and out of things.,TCO,"['', 'Wordcount', 'without verb or adj unigram']","Bayes: 1.106775219173269e-05, complexBayes 0.9984675546406959, linClass: 0 0, USE: 0 0.5161896","BayesTCO: 1.4379590825712421e-05, BayesMixed 1.2398810138581759e-05, BayesMixed w/o dups 1.2901318320099974e-05, compl BayesTCO: 0.9986602609904079, compl BayesMixed: 1.8670093645757655e-07, compl BayesMixed w/o dups: 7.560072652713144e-07","Lin Class: 0 0, USE mixed: 0 0.841361",usable
You could apply it on normal screen to make it become a touchscreen,TCO,"['', 'Wordcount', 'Wordcount']","Bayes: 6.140173838603481e-06, complexBayes 0.9999849684515527, linClass: 0 0, USE: 0 0.8044487","BayesTCO: 5.197949215891284e-06, BayesMixed 2.1575418500517965e-05, BayesMixed w/o dups 4.5112661809166894e-05, compl BayesTCO: 0.9999794234316045, compl BayesMixed: 2.4957834865627255e-13, compl BayesMixed w/o dups: 3.117616777191e-12","Lin Class: 0 0, USE mixed: 0 0.91807306",usable
